"ID","COI","result","measure","trust"
1,"COI","con","study",6
1,"COI","con","journal",4
1,"COI","con","funder",4
1,"COI","con","authors",6
1,"COI","con","replicability",0
2,"COI","con","study",6
2,"COI","con","journal",5
2,"COI","con","funder",6
2,"COI","con","authors",5
2,"COI","con","replicability",45
3,"external COI","con","study",7
3,"external COI","con","journal",7
3,"external COI","con","funder",4
3,"external COI","con","authors",7
3,"external COI","con","replicability",90
4,"COI","pro","study",3
4,"COI","pro","journal",3
4,"COI","pro","funder",3
4,"COI","pro","authors",3
4,"COI","pro","replicability",50
5,"no COI","pro","study",7
5,"no COI","pro","journal",7
5,"no COI","pro","funder",4
5,"no COI","pro","authors",7
5,"no COI","pro","replicability",50
6,"COI","con","study",5
6,"COI","con","journal",5
6,"COI","con","funder",4
6,"COI","con","authors",5
6,"COI","con","replicability",37
8,"no COI","con","study",6
8,"no COI","con","journal",4
8,"no COI","con","funder",3
8,"no COI","con","authors",5
8,"no COI","con","replicability",60
9,"COI","con","study",6
9,"COI","con","journal",5
9,"COI","con","funder",5
9,"COI","con","authors",6
9,"COI","con","replicability",50
10,"no COI","con","study",4
10,"no COI","con","journal",4
10,"no COI","con","funder",4
10,"no COI","con","authors",4
10,"no COI","con","replicability",50
11,"no COI","pro","study",4
11,"no COI","pro","journal",4
11,"no COI","pro","funder",4
11,"no COI","pro","authors",4
11,"no COI","pro","replicability",50
12,"external COI","pro","study",6
12,"external COI","pro","journal",6
12,"external COI","pro","funder",5
12,"external COI","pro","authors",6
12,"external COI","pro","replicability",70
13,"external COI","pro","study",6
13,"external COI","pro","journal",6
13,"external COI","pro","funder",5
13,"external COI","pro","authors",6
13,"external COI","pro","replicability",67
14,"external COI","pro","study",5
14,"external COI","pro","journal",5
14,"external COI","pro","funder",5
14,"external COI","pro","authors",5
14,"external COI","pro","replicability",78
15,"COI","pro","study",6
15,"COI","pro","journal",6
15,"COI","pro","funder",6
15,"COI","pro","authors",6
15,"COI","pro","replicability",80
16,"external COI","con","study",5
16,"external COI","con","journal",5
16,"external COI","con","funder",4
16,"external COI","con","authors",6
16,"external COI","con","replicability",70
17,"external COI","con","study",4
17,"external COI","con","journal",5
17,"external COI","con","funder",4
17,"external COI","con","authors",5
17,"external COI","con","replicability",35
18,"no COI","con","study",3
18,"no COI","con","journal",4
18,"no COI","con","funder",4
18,"no COI","con","authors",4
18,"no COI","con","replicability",44
19,"external COI","pro","study",6
19,"external COI","pro","journal",6
19,"external COI","pro","funder",5
19,"external COI","pro","authors",6
19,"external COI","pro","replicability",70
20,"external COI","pro","study",3
20,"external COI","pro","journal",6
20,"external COI","pro","funder",4
20,"external COI","pro","authors",5
20,"external COI","pro","replicability",70
21,"external COI","con","study",4
21,"external COI","con","journal",4
21,"external COI","con","funder",4
21,"external COI","con","authors",4
21,"external COI","con","replicability",20
22,"external COI","pro","study",5
22,"external COI","pro","journal",5
22,"external COI","pro","funder",5
22,"external COI","pro","authors",5
22,"external COI","pro","replicability",70
23,"external COI","con","study",2
23,"external COI","con","journal",2
23,"external COI","con","funder",2
23,"external COI","con","authors",2
23,"external COI","con","replicability",35
24,"external COI","pro","study",6
24,"external COI","pro","journal",7
24,"external COI","pro","funder",5
24,"external COI","pro","authors",7
24,"external COI","pro","replicability",75
25,"COI","con","study",6
25,"COI","con","journal",6
25,"COI","con","funder",4
25,"COI","con","authors",5
25,"COI","con","replicability",80
26,"external COI","pro","study",5
26,"external COI","pro","journal",6
26,"external COI","pro","funder",4
26,"external COI","pro","authors",7
26,"external COI","pro","replicability",80
27,"COI","con","study",5
27,"COI","con","journal",6
27,"COI","con","funder",3
27,"COI","con","authors",5
27,"COI","con","replicability",50
28,"COI","con","study",6
28,"COI","con","journal",6
28,"COI","con","funder",5
28,"COI","con","authors",6
28,"COI","con","replicability",87
30,"external COI","pro","study",5
30,"external COI","pro","journal",5
30,"external COI","pro","funder",5
30,"external COI","pro","authors",5
30,"external COI","pro","replicability",50
31,"external COI","pro","study",5
31,"external COI","pro","journal",5
31,"external COI","pro","funder",5
31,"external COI","pro","authors",5
31,"external COI","pro","replicability",50
32,"COI","pro","study",3
32,"COI","pro","journal",4
32,"COI","pro","funder",4
32,"COI","pro","authors",4
32,"COI","pro","replicability",30
33,"external COI","con","study",4
33,"external COI","con","journal",4
33,"external COI","con","funder",4
33,"external COI","con","authors",4
33,"external COI","con","replicability",60
34,"external COI","pro","study",6
34,"external COI","pro","journal",6
34,"external COI","pro","funder",6
34,"external COI","pro","authors",7
34,"external COI","pro","replicability",66
35,"external COI","con","study",5
35,"external COI","con","journal",4
35,"external COI","con","funder",4
35,"external COI","con","authors",5
35,"external COI","con","replicability",70
36,"no COI","con","study",5
36,"no COI","con","journal",5
36,"no COI","con","funder",5
36,"no COI","con","authors",5
36,"no COI","con","replicability",50
37,"no COI","pro","study",5
37,"no COI","pro","journal",4
37,"no COI","pro","funder",4
37,"no COI","pro","authors",5
37,"no COI","pro","replicability",70
38,"external COI","pro","study",5
38,"external COI","pro","journal",5
38,"external COI","pro","funder",5
38,"external COI","pro","authors",5
38,"external COI","pro","replicability",65
39,"COI","pro","study",7
39,"COI","pro","journal",7
39,"COI","pro","funder",6
39,"COI","pro","authors",6
39,"COI","pro","replicability",75
40,"COI","con","study",6
40,"COI","con","journal",6
40,"COI","con","funder",5
40,"COI","con","authors",6
40,"COI","con","replicability",80
41,"COI","con","study",3
41,"COI","con","journal",4
41,"COI","con","funder",3
41,"COI","con","authors",3
41,"COI","con","replicability",30
42,"external COI","pro","study",5
42,"external COI","pro","journal",4
42,"external COI","pro","funder",5
42,"external COI","pro","authors",4
42,"external COI","pro","replicability",70
43,"COI","con","study",3
43,"COI","con","journal",4
43,"COI","con","funder",4
43,"COI","con","authors",4
43,"COI","con","replicability",50
44,"COI","pro","study",5
44,"COI","pro","journal",6
44,"COI","pro","funder",5
44,"COI","pro","authors",5
44,"COI","pro","replicability",55
45,"COI","pro","study",2
45,"COI","pro","journal",6
45,"COI","pro","funder",4
45,"COI","pro","authors",4
45,"COI","pro","replicability",50
46,"no COI","con","study",6
46,"no COI","con","journal",6
46,"no COI","con","funder",2
46,"no COI","con","authors",6
46,"no COI","con","replicability",80
49,"no COI","con","study",6
49,"no COI","con","journal",5
49,"no COI","con","funder",4
49,"no COI","con","authors",6
49,"no COI","con","replicability",75
51,"external COI","pro","study",5
51,"external COI","pro","journal",5
51,"external COI","pro","funder",4
51,"external COI","pro","authors",5
51,"external COI","pro","replicability",75
52,"external COI","pro","study",3
52,"external COI","pro","journal",3
52,"external COI","pro","funder",3
52,"external COI","pro","authors",4
52,"external COI","pro","replicability",30
53,"no COI","con","study",4
53,"no COI","con","journal",4
53,"no COI","con","funder",4
53,"no COI","con","authors",4
53,"no COI","con","replicability",50
54,"COI","pro","study",3
54,"COI","pro","journal",5
54,"COI","pro","funder",3
54,"COI","pro","authors",5
54,"COI","pro","replicability",50
55,"no COI","pro","study",6
55,"no COI","pro","journal",5
55,"no COI","pro","funder",5
55,"no COI","pro","authors",5
55,"no COI","pro","replicability",70
57,"external COI","pro","study",1
57,"external COI","pro","journal",2
57,"external COI","pro","funder",5
57,"external COI","pro","authors",3
57,"external COI","pro","replicability",20
58,"no COI","con","study",6
58,"no COI","con","journal",5
58,"no COI","con","funder",6
58,"no COI","con","authors",5
58,"no COI","con","replicability",100
61,"no COI","con","study",5
61,"no COI","con","journal",4
61,"no COI","con","funder",4
61,"no COI","con","authors",5
61,"no COI","con","replicability",60
62,"no COI","con","study",6
62,"no COI","con","journal",6
62,"no COI","con","funder",5
62,"no COI","con","authors",6
62,"no COI","con","replicability",75
63,"external COI","pro","study",6
63,"external COI","pro","journal",6
63,"external COI","pro","funder",5
63,"external COI","pro","authors",7
63,"external COI","pro","replicability",70
64,"COI","con","study",3
64,"COI","con","journal",3
64,"COI","con","funder",3
64,"COI","con","authors",4
64,"COI","con","replicability",70
65,"external COI","con","study",5
65,"external COI","con","journal",5
65,"external COI","con","funder",3
65,"external COI","con","authors",5
65,"external COI","con","replicability",75
66,"COI","pro","study",5
66,"COI","pro","journal",5
66,"COI","pro","funder",4
66,"COI","pro","authors",5
66,"COI","pro","replicability",40
67,"no COI","con","study",7
67,"no COI","con","journal",6
67,"no COI","con","funder",7
67,"no COI","con","authors",6
67,"no COI","con","replicability",80
68,"external COI","pro","study",5
68,"external COI","pro","journal",6
68,"external COI","pro","funder",4
68,"external COI","pro","authors",6
68,"external COI","pro","replicability",66
69,"no COI","pro","study",4
69,"no COI","pro","journal",6
69,"no COI","pro","funder",4
69,"no COI","pro","authors",5
69,"no COI","pro","replicability",50
70,"COI","pro","study",3
70,"COI","pro","journal",4
70,"COI","pro","funder",4
70,"COI","pro","authors",5
70,"COI","pro","replicability",50
71,"external COI","con","study",5
71,"external COI","con","journal",5
71,"external COI","con","funder",5
71,"external COI","con","authors",5
71,"external COI","con","replicability",50
72,"external COI","pro","study",5
72,"external COI","pro","journal",4
72,"external COI","pro","funder",5
72,"external COI","pro","authors",5
72,"external COI","pro","replicability",50
73,"no COI","pro","study",5
73,"no COI","pro","journal",6
73,"no COI","pro","funder",4
73,"no COI","pro","authors",5
73,"no COI","pro","replicability",80
74,"COI","pro","study",4
74,"COI","pro","journal",4
74,"COI","pro","funder",4
74,"COI","pro","authors",5
74,"COI","pro","replicability",60
75,"COI","con","study",6
75,"COI","con","journal",5
75,"COI","con","funder",5
75,"COI","con","authors",6
75,"COI","con","replicability",65
76,"no COI","pro","study",1
76,"no COI","pro","journal",1
76,"no COI","pro","funder",1
76,"no COI","pro","authors",1
76,"no COI","pro","replicability",0
77,"no COI","con","study",7
77,"no COI","con","journal",6
77,"no COI","con","funder",6
77,"no COI","con","authors",6
77,"no COI","con","replicability",90
78,"no COI","pro","study",4
78,"no COI","pro","journal",4
78,"no COI","pro","funder",4
78,"no COI","pro","authors",4
78,"no COI","pro","replicability",40
79,"external COI","pro","study",3
79,"external COI","pro","journal",6
79,"external COI","pro","funder",6
79,"external COI","pro","authors",3
79,"external COI","pro","replicability",60
80,"no COI","pro","study",6
80,"no COI","pro","journal",5
80,"no COI","pro","funder",5
80,"no COI","pro","authors",6
80,"no COI","pro","replicability",70
81,"COI","pro","study",5
81,"COI","pro","journal",4
81,"COI","pro","funder",4
81,"COI","pro","authors",5
81,"COI","pro","replicability",40
82,"no COI","pro","study",3
82,"no COI","pro","journal",4
82,"no COI","pro","funder",4
82,"no COI","pro","authors",4
82,"no COI","pro","replicability",50
83,"external COI","con","study",6
83,"external COI","con","journal",7
83,"external COI","con","funder",6
83,"external COI","con","authors",6
83,"external COI","con","replicability",90
84,"no COI","pro","study",6
84,"no COI","pro","journal",6
84,"no COI","pro","funder",5
84,"no COI","pro","authors",6
84,"no COI","pro","replicability",75
85,"no COI","con","study",4
85,"no COI","con","journal",4
85,"no COI","con","funder",4
85,"no COI","con","authors",4
85,"no COI","con","replicability",50
86,"COI","con","study",6
86,"COI","con","journal",6
86,"COI","con","funder",4
86,"COI","con","authors",6
86,"COI","con","replicability",90
87,"COI","con","study",7
87,"COI","con","journal",6
87,"COI","con","funder",6
87,"COI","con","authors",7
87,"COI","con","replicability",80
88,"COI","con","study",5
88,"COI","con","journal",5
88,"COI","con","funder",4
88,"COI","con","authors",5
88,"COI","con","replicability",50
89,"no COI","pro","study",5
89,"no COI","pro","journal",4
89,"no COI","pro","funder",5
89,"no COI","pro","authors",6
89,"no COI","pro","replicability",55
90,"no COI","pro","study",5
90,"no COI","pro","journal",3
90,"no COI","pro","funder",5
90,"no COI","pro","authors",4
90,"no COI","pro","replicability",60
92,"COI","pro","study",5
92,"COI","pro","journal",5
92,"COI","pro","funder",5
92,"COI","pro","authors",5
92,"COI","pro","replicability",72
93,"external COI","con","study",5
93,"external COI","con","journal",5
93,"external COI","con","funder",3
93,"external COI","con","authors",5
93,"external COI","con","replicability",50
94,"external COI","pro","study",6
94,"external COI","pro","journal",6
94,"external COI","pro","funder",6
94,"external COI","pro","authors",6
94,"external COI","pro","replicability",75
95,"COI","pro","study",3
95,"COI","pro","journal",4
95,"COI","pro","funder",3
95,"COI","pro","authors",4
95,"COI","pro","replicability",50
97,"no COI","pro","study",5
97,"no COI","pro","journal",5
97,"no COI","pro","funder",4
97,"no COI","pro","authors",5
97,"no COI","pro","replicability",70
98,"COI","pro","study",6
98,"COI","pro","journal",6
98,"COI","pro","funder",6
98,"COI","pro","authors",6
98,"COI","pro","replicability",80
99,"external COI","con","study",5
99,"external COI","con","journal",4
99,"external COI","con","funder",3
99,"external COI","con","authors",5
99,"external COI","con","replicability",70
101,"COI","pro","study",3
101,"COI","pro","journal",5
101,"COI","pro","funder",4
101,"COI","pro","authors",4
101,"COI","pro","replicability",35
102,"external COI","con","study",5
102,"external COI","con","journal",5
102,"external COI","con","funder",4
102,"external COI","con","authors",5
102,"external COI","con","replicability",75
103,"no COI","pro","study",3
103,"no COI","pro","journal",5
103,"no COI","pro","funder",4
103,"no COI","pro","authors",5
103,"no COI","pro","replicability",20
104,"no COI","pro","study",5
104,"no COI","pro","journal",5
104,"no COI","pro","funder",5
104,"no COI","pro","authors",5
104,"no COI","pro","replicability",55
105,"external COI","pro","study",6
105,"external COI","pro","journal",6
105,"external COI","pro","funder",6
105,"external COI","pro","authors",6
105,"external COI","pro","replicability",85
106,"COI","pro","study",4
106,"COI","pro","journal",5
106,"COI","pro","funder",4
106,"COI","pro","authors",4
106,"COI","pro","replicability",50
108,"no COI","pro","study",6
108,"no COI","pro","journal",5
108,"no COI","pro","funder",6
108,"no COI","pro","authors",4
108,"no COI","pro","replicability",60
109,"no COI","pro","study",6
109,"no COI","pro","journal",5
109,"no COI","pro","funder",4
109,"no COI","pro","authors",6
109,"no COI","pro","replicability",68
111,"external COI","pro","study",7
111,"external COI","pro","journal",4
111,"external COI","pro","funder",4
111,"external COI","pro","authors",7
111,"external COI","pro","replicability",100
112,"no COI","con","study",5
112,"no COI","con","journal",5
112,"no COI","con","funder",2
112,"no COI","con","authors",6
112,"no COI","con","replicability",30
113,"external COI","pro","study",5
113,"external COI","pro","journal",5
113,"external COI","pro","funder",3
113,"external COI","pro","authors",5
113,"external COI","pro","replicability",80
114,"no COI","con","study",6
114,"no COI","con","journal",6
114,"no COI","con","funder",4
114,"no COI","con","authors",6
114,"no COI","con","replicability",80
115,"external COI","con","study",5
115,"external COI","con","journal",5
115,"external COI","con","funder",5
115,"external COI","con","authors",5
115,"external COI","con","replicability",65
116,"no COI","pro","study",6
116,"no COI","pro","journal",6
116,"no COI","pro","funder",6
116,"no COI","pro","authors",7
116,"no COI","pro","replicability",80
117,"COI","pro","study",2
117,"COI","pro","journal",5
117,"COI","pro","funder",5
117,"COI","pro","authors",3
117,"COI","pro","replicability",25
118,"COI","con","study",3
118,"COI","con","journal",4
118,"COI","con","funder",3
118,"COI","con","authors",4
118,"COI","con","replicability",50
119,"COI","pro","study",1
119,"COI","pro","journal",1
119,"COI","pro","funder",1
119,"COI","pro","authors",1
119,"COI","pro","replicability",20
120,"external COI","con","study",5
120,"external COI","con","journal",5
120,"external COI","con","funder",3
120,"external COI","con","authors",4
120,"external COI","con","replicability",70
121,"no COI","con","study",6
121,"no COI","con","journal",6
121,"no COI","con","funder",4
121,"no COI","con","authors",6
121,"no COI","con","replicability",90
122,"no COI","pro","study",4
122,"no COI","pro","journal",5
122,"no COI","pro","funder",5
122,"no COI","pro","authors",5
122,"no COI","pro","replicability",80
123,"no COI","con","study",4
123,"no COI","con","journal",5
123,"no COI","con","funder",4
123,"no COI","con","authors",5
123,"no COI","con","replicability",60
124,"no COI","con","study",7
124,"no COI","con","journal",7
124,"no COI","con","funder",7
124,"no COI","con","authors",7
124,"no COI","con","replicability",90
125,"no COI","con","study",6
125,"no COI","con","journal",6
125,"no COI","con","funder",7
125,"no COI","con","authors",6
125,"no COI","con","replicability",70
126,"external COI","con","study",1
126,"external COI","con","journal",2
126,"external COI","con","funder",4
126,"external COI","con","authors",2
126,"external COI","con","replicability",50
128,"no COI","pro","study",5
128,"no COI","pro","journal",3
128,"no COI","pro","funder",5
128,"no COI","pro","authors",4
128,"no COI","pro","replicability",80
130,"no COI","pro","study",5
130,"no COI","pro","journal",5
130,"no COI","pro","funder",5
130,"no COI","pro","authors",6
130,"no COI","pro","replicability",85
131,"external COI","con","study",2
131,"external COI","con","journal",4
131,"external COI","con","funder",2
131,"external COI","con","authors",4
131,"external COI","con","replicability",10
132,"no COI","con","study",5
132,"no COI","con","journal",6
132,"no COI","con","funder",3
132,"no COI","con","authors",6
132,"no COI","con","replicability",75
134,"no COI","pro","study",5
134,"no COI","pro","journal",6
134,"no COI","pro","funder",6
134,"no COI","pro","authors",6
134,"no COI","pro","replicability",85
135,"external COI","con","study",5
135,"external COI","con","journal",5
135,"external COI","con","funder",4
135,"external COI","con","authors",5
135,"external COI","con","replicability",80
136,"no COI","con","study",6
136,"no COI","con","journal",6
136,"no COI","con","funder",6
136,"no COI","con","authors",6
136,"no COI","con","replicability",80
137,"no COI","pro","study",5
137,"no COI","pro","journal",5
137,"no COI","pro","funder",5
137,"no COI","pro","authors",5
137,"no COI","pro","replicability",50
138,"external COI","con","study",6
138,"external COI","con","journal",6
138,"external COI","con","funder",6
