"ID","COI","result","measure","trust"
1,"COI","pro","study",5
1,"COI","pro","authors",5
1,"COI","pro","journal",6
1,"COI","pro","company",6
1,"COI","pro","replicability",85
2,"COI","con","study",2
2,"COI","con","authors",2
2,"COI","con","journal",4
2,"COI","con","company",4
2,"COI","con","replicability",30
3,"no COI","pro","study",5
3,"no COI","pro","authors",4
3,"no COI","pro","journal",4
3,"no COI","pro","company",4
3,"no COI","pro","replicability",65
4,"no COI","con","study",2
4,"no COI","con","authors",1
4,"no COI","con","journal",4
4,"no COI","con","company",3
4,"no COI","con","replicability",40
5,"COI","pro","study",3
5,"COI","pro","authors",3
5,"COI","pro","journal",5
5,"COI","pro","company",5
5,"COI","pro","replicability",70
6,"no COI","pro","study",4
6,"no COI","pro","authors",4
6,"no COI","pro","journal",4
6,"no COI","pro","company",4
6,"no COI","pro","replicability",50
7,"COI","con","study",2
7,"COI","con","authors",6
7,"COI","con","journal",4
7,"COI","con","company",3
7,"COI","con","replicability",50
8,"no COI","con","study",5
8,"no COI","con","authors",4
8,"no COI","con","journal",4
8,"no COI","con","company",4
8,"no COI","con","replicability",60
9,"COI","pro","study",5
9,"COI","pro","authors",6
9,"COI","pro","journal",6
9,"COI","pro","company",5
9,"COI","pro","replicability",50
11,"COI","pro","study",3
11,"COI","pro","authors",3
11,"COI","pro","journal",4
11,"COI","pro","company",3
11,"COI","pro","replicability",50
12,"no COI","pro","study",7
12,"no COI","pro","authors",7
12,"no COI","pro","journal",6
12,"no COI","pro","company",6
12,"no COI","pro","replicability",100
13,"COI","con","study",6
13,"COI","con","authors",6
13,"COI","con","journal",4
13,"COI","con","company",6
13,"COI","con","replicability",50
14,"no COI","con","study",4
14,"no COI","con","authors",4
14,"no COI","con","journal",5
14,"no COI","con","company",4
14,"no COI","con","replicability",50
15,"no COI","con","study",5
15,"no COI","con","authors",5
15,"no COI","con","journal",5
15,"no COI","con","company",4
15,"no COI","con","replicability",50
16,"no COI","pro","study",4
16,"no COI","pro","authors",4
16,"no COI","pro","journal",4
16,"no COI","pro","company",4
16,"no COI","pro","replicability",50
17,"COI","con","study",1
17,"COI","con","authors",1
17,"COI","con","journal",1
17,"COI","con","company",1
17,"COI","con","replicability",0
18,"COI","pro","study",1
18,"COI","pro","authors",1
18,"COI","pro","journal",1
18,"COI","pro","company",1
18,"COI","pro","replicability",50
19,"COI","con","study",5
19,"COI","con","authors",4
19,"COI","con","journal",4
19,"COI","con","company",3
19,"COI","con","replicability",70
20,"COI","con","study",4
20,"COI","con","authors",4
20,"COI","con","journal",4
20,"COI","con","company",4
20,"COI","con","replicability",50
21,"no COI","con","study",5
21,"no COI","con","authors",5
21,"no COI","con","journal",4
21,"no COI","con","company",4
21,"no COI","con","replicability",75
22,"no COI","pro","study",2
22,"no COI","pro","authors",2
22,"no COI","pro","journal",3
22,"no COI","pro","company",2
22,"no COI","pro","replicability",30
23,"COI","pro","study",2
23,"COI","pro","authors",4
23,"COI","pro","journal",3
23,"COI","pro","company",2
23,"COI","pro","replicability",50
24,"COI","con","study",5
24,"COI","con","authors",5
24,"COI","con","journal",5
24,"COI","con","company",4
24,"COI","con","replicability",90
25,"COI","pro","study",3
25,"COI","pro","authors",3
25,"COI","pro","journal",4
25,"COI","pro","company",2
25,"COI","pro","replicability",50
26,"no COI","con","study",5
26,"no COI","con","authors",4
26,"no COI","con","journal",4
26,"no COI","con","company",4
26,"no COI","con","replicability",50
27,"COI","pro","study",3
27,"COI","pro","authors",4
27,"COI","pro","journal",4
27,"COI","pro","company",4
27,"COI","pro","replicability",50
28,"no COI","pro","study",6
28,"no COI","pro","authors",5
28,"no COI","pro","journal",4
28,"no COI","pro","company",4
28,"no COI","pro","replicability",50
29,"no COI","con","study",4
29,"no COI","con","authors",4
29,"no COI","con","journal",4
29,"no COI","con","company",4
29,"no COI","con","replicability",50
30,"COI","con","study",4
30,"COI","con","authors",4
30,"COI","con","journal",4
30,"COI","con","company",4
30,"COI","con","replicability",50
31,"COI","con","study",4
31,"COI","con","authors",4
31,"COI","con","journal",4
31,"COI","con","company",4
31,"COI","con","replicability",90
32,"COI","pro","study",1
32,"COI","pro","authors",4
32,"COI","pro","journal",1
32,"COI","pro","company",1
32,"COI","pro","replicability",0
33,"no COI","con","study",2
33,"no COI","con","authors",3
33,"no COI","con","journal",3
33,"no COI","con","company",2
33,"no COI","con","replicability",10
34,"COI","con","study",2
34,"COI","con","authors",3
34,"COI","con","journal",4
34,"COI","con","company",4
34,"COI","con","replicability",40
35,"COI","con","study",6
35,"COI","con","authors",6
35,"COI","con","journal",4
35,"COI","con","company",4
35,"COI","con","replicability",80
36,"no COI","con","study",2
36,"no COI","con","authors",2
36,"no COI","con","journal",2
36,"no COI","con","company",1
36,"no COI","con","replicability",50
38,"COI","pro","study",3
38,"COI","pro","authors",4
38,"COI","pro","journal",4
38,"COI","pro","company",4
38,"COI","pro","replicability",50
40,"COI","pro","study",5
40,"COI","pro","authors",4
40,"COI","pro","journal",4
40,"COI","pro","company",4
40,"COI","pro","replicability",50
41,"no COI","con","study",2
41,"no COI","con","authors",3
41,"no COI","con","journal",4
41,"no COI","con","company",4
41,"no COI","con","replicability",50
42,"no COI","pro","study",4
42,"no COI","pro","authors",4
42,"no COI","pro","journal",4
42,"no COI","pro","company",4
42,"no COI","pro","replicability",50
43,"no COI","pro","study",6
43,"no COI","pro","authors",4
43,"no COI","pro","journal",4
43,"no COI","pro","company",4
43,"no COI","pro","replicability",80
44,"COI","con","study",6
44,"COI","con","authors",5
44,"COI","con","journal",4
44,"COI","con","company",6
44,"COI","con","replicability",40
45,"COI","pro","study",3
45,"COI","pro","authors",3
45,"COI","pro","journal",4
45,"COI","pro","company",4
45,"COI","pro","replicability",25
46,"COI","con","study",6
46,"COI","con","authors",6
46,"COI","con","journal",6
46,"COI","con","company",6
46,"COI","con","replicability",80
47,"no COI","pro","study",1
47,"no COI","pro","authors",1
47,"no COI","pro","journal",1
47,"no COI","pro","company",1
47,"no COI","pro","replicability",0
48,"COI","con","study",4
48,"COI","con","authors",4
48,"COI","con","journal",4
48,"COI","con","company",4
48,"COI","con","replicability",50
49,"no COI","pro","study",5
49,"no COI","pro","authors",5
49,"no COI","pro","journal",5
49,"no COI","pro","company",5
49,"no COI","pro","replicability",80
50,"COI","con","study",6
50,"COI","con","authors",6
50,"COI","con","journal",4
50,"COI","con","company",5
50,"COI","con","replicability",75
51,"no COI","con","study",4
51,"no COI","con","authors",4
51,"no COI","con","journal",4
51,"no COI","con","company",4
51,"no COI","con","replicability",50
52,"no COI","pro","study",2
52,"no COI","pro","authors",4
52,"no COI","pro","journal",1
52,"no COI","pro","company",1
52,"no COI","pro","replicability",50
53,"COI","pro","study",4
53,"COI","pro","authors",3
53,"COI","pro","journal",3
53,"COI","pro","company",4
53,"COI","pro","replicability",50
54,"no COI","con","study",3
54,"no COI","con","authors",4
54,"no COI","con","journal",3
54,"no COI","con","company",4
54,"no COI","con","replicability",0
55,"COI","pro","study",3
55,"COI","pro","authors",2
55,"COI","pro","journal",2
55,"COI","pro","company",2
55,"COI","pro","replicability",30
56,"COI","pro","study",3
56,"COI","pro","authors",4
56,"COI","pro","journal",5
56,"COI","pro","company",4
56,"COI","pro","replicability",50
57,"COI","con","study",1
57,"COI","con","authors",1
57,"COI","con","journal",1
57,"COI","con","company",1
57,"COI","con","replicability",10
58,"COI","con","study",6
58,"COI","con","authors",6
58,"COI","con","journal",6
58,"COI","con","company",6
58,"COI","con","replicability",80
59,"no COI","pro","study",6
59,"no COI","pro","authors",6
59,"no COI","pro","journal",6
59,"no COI","pro","company",6
59,"no COI","pro","replicability",60
60,"no COI","con","study",5
60,"no COI","con","authors",4
60,"no COI","con","journal",4
60,"no COI","con","company",4
60,"no COI","con","replicability",60
61,"COI","pro","study",5
61,"COI","pro","authors",4
61,"COI","pro","journal",5
61,"COI","pro","company",4
61,"COI","pro","replicability",80
63,"COI","pro","study",5
63,"COI","pro","authors",5
63,"COI","pro","journal",5
63,"COI","pro","company",6
63,"COI","pro","replicability",75
66,"no COI","pro","study",6
66,"no COI","pro","authors",6
66,"no COI","pro","journal",5
66,"no COI","pro","company",4
66,"no COI","pro","replicability",95
67,"COI","pro","study",1
67,"COI","pro","authors",1
67,"COI","pro","journal",4
67,"COI","pro","company",1
67,"COI","pro","replicability",50
68,"COI","con","study",5
68,"COI","con","authors",5
68,"COI","con","journal",5
68,"COI","con","company",5
68,"COI","con","replicability",75
69,"no COI","con","study",5
69,"no COI","con","authors",4
69,"no COI","con","journal",4
69,"no COI","con","company",5
69,"no COI","con","replicability",100
70,"no COI","con","study",6
70,"no COI","con","authors",6
70,"no COI","con","journal",5
70,"no COI","con","company",5
70,"no COI","con","replicability",80
71,"no COI","con","study",5
71,"no COI","con","authors",4
71,"no COI","con","journal",4
71,"no COI","con","company",2
71,"no COI","con","replicability",45
72,"COI","pro","study",2
72,"COI","pro","authors",2
72,"COI","pro","journal",3
72,"COI","pro","company",2
72,"COI","pro","replicability",50
75,"no COI","pro","study",7
75,"no COI","pro","authors",7
75,"no COI","pro","journal",7
75,"no COI","pro","company",6
75,"no COI","pro","replicability",95
76,"COI","con","study",3
76,"COI","con","authors",3
76,"COI","con","journal",3
76,"COI","con","company",3
76,"COI","con","replicability",50
77,"no COI","con","study",5
77,"no COI","con","authors",5
77,"no COI","con","journal",5
77,"no COI","con","company",5
77,"no COI","con","replicability",80
78,"COI","pro","study",3
78,"COI","pro","authors",3
78,"COI","pro","journal",6
78,"COI","pro","company",4
78,"COI","pro","replicability",25
83,"no COI","pro","study",5
83,"no COI","pro","authors",5
83,"no COI","pro","journal",5
83,"no COI","pro","company",5
83,"no COI","pro","replicability",80
84,"no COI","pro","study",5
84,"no COI","pro","authors",5
84,"no COI","pro","journal",5
84,"no COI","pro","company",5
84,"no COI","pro","replicability",70
87,"COI","con","study",4
87,"COI","con","authors",5
87,"COI","con","journal",4
87,"COI","con","company",5
87,"COI","con","replicability",60
88,"COI","pro","study",4
88,"COI","pro","authors",4
88,"COI","pro","journal",4
88,"COI","pro","company",4
88,"COI","pro","replicability",50
89,"no COI","con","study",6
89,"no COI","con","authors",5
89,"no COI","con","journal",6
89,"no COI","con","company",5
89,"no COI","con","replicability",70
90,"COI","pro","study",6
90,"COI","pro","authors",5
90,"COI","pro","journal",4
90,"COI","pro","company",5
90,"COI","pro","replicability",80
91,"no COI","con","study",5
91,"no COI","con","authors",5
91,"no COI","con","journal",4
91,"no COI","con","company",4
91,"no COI","con","replicability",80
92,"COI","con","study",7
92,"COI","con","authors",7
92,"COI","con","journal",6
92,"COI","con","company",6
92,"COI","con","replicability",90
93,"COI","pro","study",5
93,"COI","pro","authors",5
93,"COI","pro","journal",5
93,"COI","pro","company",4
93,"COI","pro","replicability",70
94,"no COI","con","study",6
94,"no COI","con","authors",7
94,"no COI","con","journal",7
94,"no COI","con","company",6
94,"no COI","con","replicability",80
95,"no COI","pro","study",5
95,"no COI","pro","authors",5
95,"no COI","pro","journal",4
95,"no COI","pro","company",4
95,"no COI","pro","replicability",65
96,"COI","pro","study",4
96,"COI","pro","authors",5
96,"COI","pro","journal",5
96,"COI","pro","company",4
96,"COI","pro","replicability",25
97,"COI","pro","study",1
97,"COI","pro","authors",4
97,"COI","pro","journal",4
97,"COI","pro","company",4
97,"COI","pro","replicability",50
101,"no COI","con","study",4
101,"no COI","con","authors",4
101,"no COI","con","journal",4
101,"no COI","con","company",4
101,"no COI","con","replicability",50
105,"COI","con","study",5
105,"COI","con","authors",4
105,"COI","con","journal",4
105,"COI","con","company",4
105,"COI","con","replicability",75
107,"COI","pro","study",6
107,"COI","pro","authors",6
107,"COI","pro","journal",5
107,"COI","pro","company",5
107,"COI","pro","replicability",75
109,"COI","pro","study",5
109,"COI","pro","authors",4
109,"COI","pro","journal",4
109,"COI","pro","company",4
109,"COI","pro","replicability",75
111,"no COI","con","study",4
111,"no COI","con","authors",4
111,"no COI","con","journal",5
111,"no COI","con","company",4
111,"no COI","con","replicability",50
112,"COI","pro","study",2
112,"COI","pro","authors",4
112,"COI","pro","journal",4
112,"COI","pro","company",2
112,"COI","pro","replicability",50
113,"no COI","con","study",6
113,"no COI","con","authors",6
113,"no COI","con","journal",6
113,"no COI","con","company",6
113,"no COI","con","replicability",80
114,"no COI","pro","study",7
114,"no COI","pro","authors",7
114,"no COI","pro","journal",7
114,"no COI","pro","company",7
114,"no COI","pro","replicability",97
115,"COI","con","study",6
115,"COI","con","authors",6
115,"COI","con","journal",7
115,"COI","con","company",6
115,"COI","con","replicability",90
116,"no COI","con","study",5
