"ID","trust_study","trust_authors","trust_journal","trust_company","est_replicability","attention_check","COI","result","AC"
1,5,3,5,3,40,2,"COI","con","correct"
2,6,6,6,2,90,2,"COI","con","correct"
3,2,3,4,3,70,2,"COI","pro","correct"
4,4,4,4,3,50,1,"no COI","con","correct"
5,4,4,4,4,50,2,"COI","pro","correct"
6,5,4,4,4,70,1,"no COI","pro","correct"
7,5,6,6,4,80,1,"no COI","con","correct"
8,6,6,5,5,85,1,"no COI","pro","correct"
9,6,6,6,6,80,2,"COI","con","correct"
10,6,6,6,6,100,1,"no COI","pro","correct"
11,5,5,5,4,50,1,"no COI","con","correct"
12,6,6,6,5,70,2,"COI","pro","correct"
13,7,4,5,5,100,1,"COI","con","incorrect"
14,6,4,6,6,80,1,"no COI","con","correct"
15,5,6,6,6,80,1,"no COI","con","correct"
16,4,4,4,4,50,1,"no COI","pro","correct"
17,4,4,4,3,50,2,"COI","pro","correct"
18,5,6,6,6,50,2,"COI","pro","correct"
19,5,5,5,5,50,1,"no COI","pro","correct"
20,7,7,7,5,80,1,"no COI","pro","correct"
21,5,6,4,5,75,2,"COI","con","correct"
22,6,6,6,6,70,2,"COI","con","correct"
23,6,6,6,4,80,1,"no COI","con","correct"
24,5,5,5,4,80,2,"COI","con","correct"
25,3,3,4,3,50,2,"COI","pro","correct"
26,5,5,5,5,60,2,"COI","pro","correct"
27,3,4,5,4,77,2,"no COI","con","incorrect"
28,6,6,6,2,50,1,"no COI","pro","correct"
29,5,5,4,5,80,2,"COI","con","correct"
30,5,4,5,5,60,2,"COI","pro","correct"
31,6,6,7,5,90,1,"no COI","pro","correct"
32,6,6,6,5,80,1,"no COI","con","correct"
33,2,4,5,4,25,2,"COI","con","correct"
34,6,6,6,6,70,1,"no COI","con","correct"
35,4,4,4,3,80,1,"COI","pro","incorrect"
36,6,4,4,2,20,1,"no COI","pro","correct"
37,5,4,5,3,67,1,"no COI","pro","correct"
38,5,5,5,4,90,2,"COI","pro","correct"
39,6,6,6,6,75,1,"COI","con","incorrect"
40,5,6,5,6,70,1,"COI","con","incorrect"
41,6,6,7,2,35,1,"no COI","con","correct"
42,6,6,6,3,85,1,"no COI","con","correct"
43,4,4,5,4,60,2,"COI","pro","correct"
44,6,6,6,6,80,1,"no COI","con","correct"
45,4,6,6,6,75,1,"no COI","con","correct"
46,6,6,6,6,100,1,"no COI","pro","correct"
47,5,5,5,4,65,1,"no COI","pro","correct"
48,5,6,4,5,85,1,"no COI","pro","correct"
49,5,5,5,4,75,2,"COI","pro","correct"
50,5,5,4,5,85,2,"COI","con","correct"
51,5,5,5,4,75,1,"no COI","pro","correct"
52,5,5,5,4,80,1,"COI","con","incorrect"
53,6,6,6,4,80,1,"no COI","con","correct"
54,5,6,6,5,70,2,"COI","con","correct"
55,5,5,5,5,70,2,"COI","pro","correct"
56,5,5,4,4,65,2,"COI","con","correct"
57,6,6,6,6,85,1,"no COI","pro","correct"
58,6,6,6,6,80,2,"COI","con","correct"
59,6,6,5,5,90,2,"COI","pro","correct"
60,6,6,6,6,90,1,"no COI","con","correct"
61,6,6,6,4,90,1,"no COI","con","correct"
62,5,6,4,5,10,1,"COI","con","incorrect"
63,6,6,7,7,90,2,"COI","con","correct"
64,5,6,5,5,50,2,"no COI","con","incorrect"
65,6,7,6,4,80,2,"COI","con","correct"
66,5,4,4,4,75,1,"no COI","con","correct"
67,6,7,6,4,90,2,"COI","con","correct"
68,6,5,6,5,70,2,"COI","pro","correct"
69,6,6,6,4,90,1,"no COI","pro","correct"
70,5,5,5,4,80,1,"no COI","con","correct"
71,5,5,5,5,68,1,"no COI","pro","correct"
72,6,5,5,4,78,1,"no COI","pro","correct"
73,3,4,4,4,65,2,"COI","pro","correct"
74,3,3,4,3,55,1,"no COI","con","correct"
75,4,4,4,4,50,1,"COI","con","incorrect"
76,6,6,6,2,80,1,"no COI","pro","correct"
77,6,4,6,3,68,2,"COI","pro","correct"
78,6,6,6,6,60,1,"no COI","con","correct"
