"ID","attention_check","est_replicability","trust_authors","trust_funder","trust_journal","trust_study","COI","result","AC","cond"
1,2,0,6,4,4,6,"COI","con","correct","neg_COI"
2,2,45,5,6,5,6,"COI","con","correct","neg_COI"
3,2,90,7,4,7,7,"external COI","con","correct","neg_extCOI"
4,2,50,3,3,3,3,"COI","pro","correct","pos_COI"
5,1,50,7,4,7,7,"no COI","pro","correct","pos_noCOI"
6,2,37,5,4,5,5,"COI","con","correct","neg_COI"
7,2,55,4,3,4,4,"no COI","pro","incorrect","pos_noCOI"
8,1,60,5,3,4,6,"no COI","con","correct","neg_noCOI"
9,2,50,6,5,5,6,"COI","con","correct","neg_COI"
10,1,50,4,4,4,4,"no COI","con","correct","neg_noCOI"
11,1,50,4,4,4,4,"no COI","pro","correct","pos_noCOI"
12,2,70,6,5,6,6,"external COI","pro","correct","pos_extCOI"
13,2,67,6,5,6,6,"external COI","pro","correct","pos_extCOI"
14,2,78,5,5,5,5,"external COI","pro","correct","pos_extCOI"
15,2,80,6,6,6,6,"COI","pro","correct","pos_COI"
16,2,70,6,4,5,5,"external COI","con","correct","neg_extCOI"
17,2,35,5,4,5,4,"external COI","con","correct","neg_extCOI"
18,1,44,4,4,4,3,"no COI","con","correct","neg_noCOI"
19,2,70,6,5,6,6,"external COI","pro","correct","pos_extCOI"
20,2,70,5,4,6,3,"external COI","pro","correct","pos_extCOI"
21,2,20,4,4,4,4,"external COI","con","correct","neg_extCOI"
22,2,70,5,5,5,5,"external COI","pro","correct","pos_extCOI"
23,2,35,2,2,2,2,"external COI","con","correct","neg_extCOI"
24,2,75,7,5,7,6,"external COI","pro","correct","pos_extCOI"
25,2,80,5,4,6,6,"COI","con","correct","neg_COI"
26,2,80,7,4,6,5,"external COI","pro","correct","pos_extCOI"
27,2,50,5,3,6,5,"COI","con","correct","neg_COI"
28,2,87,6,5,6,6,"COI","con","correct","neg_COI"
29,1,80,6,5,6,5,"external COI","con","incorrect","neg_extCOI"
30,2,50,5,5,5,5,"external COI","pro","correct","pos_extCOI"
31,2,50,5,5,5,5,"external COI","pro","correct","pos_extCOI"
32,2,30,4,4,4,3,"COI","pro","correct","pos_COI"
33,2,60,4,4,4,4,"external COI","con","correct","neg_extCOI"
34,2,66,7,6,6,6,"external COI","pro","correct","pos_extCOI"
35,2,70,5,4,4,5,"external COI","con","correct","neg_extCOI"
36,1,50,5,5,5,5,"no COI","con","correct","neg_noCOI"
37,1,70,5,4,4,5,"no COI","pro","correct","pos_noCOI"
38,2,65,5,5,5,5,"external COI","pro","correct","pos_extCOI"
39,2,75,6,6,7,7,"COI","pro","correct","pos_COI"
40,2,80,6,5,6,6,"COI","con","correct","neg_COI"
41,2,30,3,3,4,3,"COI","con","correct","neg_COI"
42,2,70,4,5,4,5,"external COI","pro","correct","pos_extCOI"
43,2,50,4,4,4,3,"COI","con","correct","neg_COI"
44,2,55,5,5,6,5,"COI","pro","correct","pos_COI"
45,2,50,4,4,6,2,"COI","pro","correct","pos_COI"
46,1,80,6,2,6,6,"no COI","con","correct","neg_noCOI"
47,1,50,5,5,5,5,"COI","con","incorrect","neg_COI"
48,1,70,6,5,5,6,"external COI","con","incorrect","neg_extCOI"
49,1,75,6,4,5,6,"no COI","con","correct","neg_noCOI"
50,1,80,5,2,5,6,"external COI","con","incorrect","neg_extCOI"
51,2,75,5,4,5,5,"external COI","pro","correct","pos_extCOI"
52,2,30,4,3,3,3,"external COI","pro","correct","pos_extCOI"
53,1,50,4,4,4,4,"no COI","con","correct","neg_noCOI"
54,2,50,5,3,5,3,"COI","pro","correct","pos_COI"
55,1,70,5,5,5,6,"no COI","pro","correct","pos_noCOI"
56,1,70,4,5,5,5,"COI","pro","incorrect","pos_COI"
57,2,20,3,5,2,1,"external COI","pro","correct","pos_extCOI"
58,1,100,5,6,5,6,"no COI","con","correct","neg_noCOI"
59,1,85,6,6,6,6,"COI","pro","incorrect","pos_COI"
60,1,80,5,5,5,5,"external COI","con","incorrect","neg_extCOI"
61,1,60,5,4,4,5,"no COI","con","correct","neg_noCOI"
62,1,75,6,5,6,6,"no COI","con","correct","neg_noCOI"
63,2,70,7,5,6,6,"external COI","pro","correct","pos_extCOI"
64,2,70,4,3,3,3,"COI","con","correct","neg_COI"
65,2,75,5,3,5,5,"external COI","con","correct","neg_extCOI"
66,2,40,5,4,5,5,"COI","pro","correct","pos_COI"
67,1,80,6,7,6,7,"no COI","con","correct","neg_noCOI"
68,2,66,6,4,6,5,"external COI","pro","correct","pos_extCOI"
69,1,50,5,4,6,4,"no COI","pro","correct","pos_noCOI"
70,2,50,5,4,4,3,"COI","pro","correct","pos_COI"
71,2,50,5,5,5,5,"external COI","con","correct","neg_extCOI"
72,2,50,5,5,4,5,"external COI","pro","correct","pos_extCOI"
73,1,80,5,4,6,5,"no COI","pro","correct","pos_noCOI"
74,2,60,5,4,4,4,"COI","pro","correct","pos_COI"
75,2,65,6,5,5,6,"COI","con","correct","neg_COI"
76,1,0,1,1,1,1,"no COI","pro","correct","pos_noCOI"
77,1,90,6,6,6,7,"no COI","con","correct","neg_noCOI"
78,1,40,4,4,4,4,"no COI","pro","correct","pos_noCOI"
79,2,60,3,6,6,3,"external COI","pro","correct","pos_extCOI"
80,1,70,6,5,5,6,"no COI","pro","correct","pos_noCOI"
81,2,40,5,4,4,5,"COI","pro","correct","pos_COI"
82,1,50,4,4,4,3,"no COI","pro","correct","pos_noCOI"
83,2,90,6,6,7,6,"external COI","con","correct","neg_extCOI"
84,1,75,6,5,6,6,"no COI","pro","correct","pos_noCOI"
85,1,50,4,4,4,4,"no COI","con","correct","neg_noCOI"
86,2,90,6,4,6,6,"COI","con","correct","neg_COI"
87,2,80,7,6,6,7,"COI","con","correct","neg_COI"
88,2,50,5,4,5,5,"COI","con","correct","neg_COI"
89,1,55,6,5,4,5,"no COI","pro","correct","pos_noCOI"
90,1,60,4,5,3,5,"no COI","pro","correct","pos_noCOI"
91,1,75,6,5,5,6,"COI","con","incorrect","neg_COI"
92,2,72,5,5,5,5,"COI","pro","correct","pos_COI"
93,2,50,5,3,5,5,"external COI","con","correct","neg_extCOI"
94,2,75,6,6,6,6,"external COI","pro","correct","pos_extCOI"
95,2,50,4,3,4,3,"COI","pro","correct","pos_COI"
96,2,20,6,6,6,6,"no COI","pro","incorrect","pos_noCOI"
97,1,70,5,4,5,5,"no COI","pro","correct","pos_noCOI"
98,2,80,6,6,6,6,"COI","pro","correct","pos_COI"
99,2,70,5,3,4,5,"external COI","con","correct","neg_extCOI"
100,1,65,7,4,6,6,"external COI","pro","incorrect","pos_extCOI"
101,2,35,4,4,5,3,"COI","pro","correct","pos_COI"
102,2,75,5,4,5,5,"external COI","con","correct","neg_extCOI"
103,1,20,5,4,5,3,"no COI","pro","correct","pos_noCOI"
104,1,55,5,5,5,5,"no COI","pro","correct","pos_noCOI"
105,2,85,6,6,6,6,"external COI","pro","correct","pos_extCOI"
106,2,50,4,4,5,4,"COI","pro","correct","pos_COI"
107,1,45,4,4,4,4,"COI","pro","incorrect","pos_COI"
108,1,60,4,6,5,6,"no COI","pro","correct","pos_noCOI"
109,1,68,6,4,5,6,"no COI","pro","correct","pos_noCOI"
110,1,45,6,5,6,6,"COI","con","incorrect","neg_COI"
111,2,100,7,4,4,7,"external COI","pro","correct","pos_extCOI"
112,1,30,6,2,5,5,"no COI","con","correct","neg_noCOI"
113,2,80,5,3,5,5,"external COI","pro","correct","pos_extCOI"
114,1,80,6,4,6,6,"no COI","con","correct","neg_noCOI"
115,2,65,5,5,5,5,"external COI","con","correct","neg_extCOI"
116,1,80,7,6,6,6,"no COI","pro","correct","pos_noCOI"
117,2,25,3,5,5,2,"COI","pro","correct","pos_COI"
118,2,50,4,3,4,3,"COI","con","correct","neg_COI"
119,2,20,1,1,1,1,"COI","pro","correct","pos_COI"
120,2,70,4,3,5,5,"external COI","con","correct","neg_extCOI"
121,1,90,6,4,6,6,"no COI","con","correct","neg_noCOI"
122,1,80,5,5,5,4,"no COI","pro","correct","pos_noCOI"
123,1,60,5,4,5,4,"no COI","con","correct","neg_noCOI"
124,1,90,7,7,7,7,"no COI","con","correct","neg_noCOI"
125,1,70,6,7,6,6,"no COI","con","correct","neg_noCOI"
126,2,50,2,4,2,1,"external COI","con","correct","neg_extCOI"
127,1,90,5,6,6,6,"COI","con","incorrect","neg_COI"
128,1,80,4,5,3,5,"no COI","pro","correct","pos_noCOI"
129,2,50,4,4,4,4,"no COI","con","incorrect","neg_noCOI"
130,1,85,6,5,5,5,"no COI","pro","correct","pos_noCOI"
131,2,10,4,2,4,2,"external COI","con","correct","neg_extCOI"
132,1,75,6,3,6,5,"no COI","con","correct","neg_noCOI"
133,1,80,4,4,4,4,"external COI","con","incorrect","neg_extCOI"
134,1,85,6,6,6,5,"no COI","pro","correct","pos_noCOI"
135,2,80,5,4,5,5,"external COI","con","correct","neg_extCOI"
136,1,80,6,6,6,6,"no COI","con","correct","neg_noCOI"
137,1,50,5,5,5,5,"no COI","pro","correct","pos_noCOI"
138,2,95,6,6,6,6,"external COI","con","correct","neg_extCOI"
139,2,20,2,4,2,1,"external COI","pro","correct","pos_extCOI"
140,1,62,4,4,4,4,"COI","con","incorrect","neg_COI"
141,2,50,4,4,4,4,"COI","con","correct","neg_COI"
142,2,90,5,5,5,5,"external COI","con","correct","neg_extCOI"
143,2,30,2,2,4,2,"external COI","pro","correct","pos_extCOI"
144,2,70,5,4,5,5,"external COI","pro","correct","pos_extCOI"
145,1,80,4,4,5,4,"no COI","con","correct","neg_noCOI"
146,1,90,6,5,6,6,"no COI","con","correct","neg_noCOI"
147,1,66,5,4,5,5,"no COI","pro","correct","pos_noCOI"
148,1,70,5,3,4,5,"no COI","con","correct","neg_noCOI"
149,1,80,5,4,5,6,"no COI","pro","correct","pos_noCOI"
150,2,40,4,3,4,5,"COI","con","correct","neg_COI"
151,1,70,6,4,6,6,"no COI","pro","correct","pos_noCOI"
152,2,65,5,4,6,5,"external COI","con","correct","neg_extCOI"
153,2,85,6,6,7,6,"external COI","pro","correct","pos_extCOI"
154,2,85,5,4,5,6,"COI","con","correct","neg_COI"
155,2,85,5,4,6,6,"COI","pro","correct","pos_COI"
156,1,80,6,5,6,6,"no COI","pro","correct","pos_noCOI"
157,1,90,6,6,6,6,"COI","con","incorrect","neg_COI"
158,1,50,5,5,5,5,"no COI","pro","correct","pos_noCOI"
159,2,50,6,4,6,4,"external COI","con","correct","neg_extCOI"
160,2,90,6,5,6,6,"COI","con","correct","neg_COI"
161,1,95,5,3,5,5,"no COI","con","correct","neg_noCOI"
162,2,50,3,2,2,3,"COI","pro","correct","pos_COI"
163,2,75,5,5,5,5,"external COI","pro","correct","pos_extCOI"
164,1,90,6,6,6,6,"no COI","con","correct","neg_noCOI"
165,1,60,5,4,5,5,"external COI","pro","incorrect","pos_extCOI"
166,1,50,5,5,5,5,"no COI","con","correct","neg_noCOI"
167,2,99,7,6,7,7,"COI","pro","correct","pos_COI"
168,2,50,3,4,3,3,"COI","con","correct","neg_COI"
169,1,50,5,4,4,4,"no COI","con","correct","neg_noCOI"
170,2,55,4,4,4,5,"no COI","pro","incorrect","pos_noCOI"
171,2,70,5,6,6,5,"external COI","con","correct","neg_extCOI"
172,1,80,5,4,7,5,"no COI","pro","correct","pos_noCOI"
173,1,50,6,3,3,3,"external COI","pro","incorrect","pos_extCOI"
174,2,80,6,5,4,6,"external COI","con","correct","neg_extCOI"
175,2,80,7,6,6,6,"COI","con","correct","neg_COI"
176,2,100,1,1,1,1,"COI","con","correct","neg_COI"
177,2,85,6,4,6,6,"external COI","con","correct","neg_extCOI"
178,2,75,5,6,6,5,"external COI","pro","correct","pos_extCOI"
179,1,80,5,4,5,6,"no COI","pro","correct","pos_noCOI"
180,2,36,3,3,5,2,"external COI","pro","correct","pos_extCOI"
181,2,40,3,3,3,5,"no COI","pro","incorrect","pos_noCOI"
182,2,40,3,5,3,3,"external COI","pro","correct","pos_extCOI"
183,1,90,6,6,6,6,"no COI","con","correct","neg_noCOI"
184,1,80,6,5,6,6,"no COI","con","correct","neg_noCOI"
185,2,50,5,3,4,4,"external COI","pro","correct","pos_extCOI"
186,2,75,6,4,4,5,"external COI","con","correct","neg_extCOI"
187,2,80,6,6,6,6,"external COI","pro","correct","pos_extCOI"
188,2,90,6,6,6,6,"COI","pro","correct","pos_COI"
189,2,85,4,4,4,4,"external COI","con","correct","neg_extCOI"
190,1,70,6,6,6,6,"external COI","con","incorrect","neg_extCOI"
191,2,90,7,7,7,7,"COI","con","correct","neg_COI"
192,1,70,5,5,5,6,"no COI","pro","correct","pos_noCOI"
193,1,70,5,4,5,5,"external COI","pro","incorrect","pos_extCOI"
194,2,50,4,4,3,3,"external COI","pro","correct","pos_extCOI"
195,2,50,4,4,4,4,"COI","pro","correct","pos_COI"
196,2,90,6,5,6,6,"COI","con","correct","neg_COI"
197,2,80,5,5,5,5,"COI","con","correct","neg_COI"
198,1,85,6,6,6,6,"no COI","con","correct","neg_noCOI"
199,1,80,6,6,6,6,"no COI","pro","correct","pos_noCOI"
200,2,70,5,4,5,5,"COI","pro","correct","pos_COI"
201,1,60,4,4,4,4,"no COI","pro","correct","pos_noCOI"
202,2,95,6,6,6,6,"COI","con","correct","neg_COI"
203,2,50,4,4,4,4,"no COI","con","incorrect","neg_noCOI"
204,2,70,5,5,5,5,"no COI","pro","incorrect","pos_noCOI"
205,1,70,5,4,5,6,"no COI","con","correct","neg_noCOI"
206,1,65,4,4,6,5,"no COI","con","correct","neg_noCOI"
207,1,75,6,5,6,6,"COI","con","incorrect","neg_COI"
208,1,50,4,3,4,5,"no COI","con","correct","neg_noCOI"
209,1,80,6,6,6,6,"COI","pro","incorrect","pos_COI"
210,2,40,3,3,4,2,"COI","con","correct","neg_COI"
211,1,75,5,5,5,5,"external COI","con","incorrect","neg_extCOI"
212,2,70,5,4,6,4,"external COI","pro","correct","pos_extCOI"
213,2,50,3,4,4,2,"external COI","pro","correct","pos_extCOI"
214,2,75,6,4,7,5,"COI","pro","correct","pos_COI"
