"ID","trust_study","trust_authors","trust_journal","trust_company","est_replicability","attention_check","participant_phd","published_empirical","COI","result","AC"
1,5,5,6,6,85,2,"yes","yes","COI","pro","correct"
2,2,2,4,4,30,2,"yes","yes","COI","con","correct"
3,5,4,4,4,65,1,"yes","yes","no COI","pro","correct"
4,2,1,4,3,40,1,"yes","yes","no COI","con","correct"
5,3,3,5,5,70,2,"yes","yes","COI","pro","correct"
6,4,4,4,4,50,1,"yes","yes","no COI","pro","correct"
7,2,6,4,3,50,2,"yes","yes","COI","con","correct"
8,5,4,4,4,60,1,"yes","yes","no COI","con","correct"
9,5,6,6,5,50,2,"yes","yes","COI","pro","correct"
10,3,4,4,4,51,1,"no","yes","no COI","pro","correct"
11,3,3,4,3,50,2,"yes","yes","COI","pro","correct"
12,7,7,6,6,100,1,"yes","yes","no COI","pro","correct"
13,6,6,4,6,50,2,"yes","yes","COI","con","correct"
14,4,4,5,4,50,1,"yes","yes","no COI","con","correct"
15,5,5,5,4,50,1,"yes","yes","no COI","con","correct"
16,4,4,4,4,50,1,"yes","yes","no COI","pro","correct"
17,1,1,1,1,0,2,"yes","yes","COI","con","correct"
18,1,1,1,1,50,2,"yes","yes","COI","pro","correct"
19,5,4,4,3,70,2,"yes","yes","COI","con","correct"
20,4,4,4,4,50,2,"yes","yes","COI","con","correct"
21,5,5,4,4,75,1,"yes","yes","no COI","con","correct"
22,2,2,3,2,30,1,"yes","yes","no COI","pro","correct"
23,2,4,3,2,50,2,"yes","yes","COI","pro","correct"
24,5,5,5,4,90,2,"yes","yes","COI","con","correct"
25,3,3,4,2,50,2,"yes","yes","COI","pro","correct"
26,5,4,4,4,50,1,"yes","yes","no COI","con","correct"
27,3,4,4,4,50,2,"yes","yes","COI","pro","correct"
28,6,5,4,4,50,1,"yes","yes","no COI","pro","correct"
29,4,4,4,4,50,1,"yes","yes","no COI","con","correct"
30,4,4,4,4,50,2,"yes","yes","COI","con","correct"
31,4,4,4,4,90,2,"yes","yes","COI","con","correct"
32,1,4,1,1,0,2,"yes","yes","COI","pro","correct"
33,2,3,3,2,10,1,"yes","yes","no COI","con","correct"
34,2,3,4,4,40,2,"yes","yes","COI","con","correct"
35,6,6,4,4,80,2,"yes","yes","COI","con","correct"
36,2,2,2,1,50,1,"yes","yes","no COI","con","correct"
37,3,3,2,4,65,2,"no","yes","no COI","pro","incorrect"
38,3,4,4,4,50,2,"yes","yes","COI","pro","correct"
39,5,5,6,4,80,2,"no","yes","COI","con","correct"
40,5,4,4,4,50,2,"yes","yes","COI","pro","correct"
41,2,3,4,4,50,1,"yes","yes","no COI","con","correct"
42,4,4,4,4,50,1,"yes","yes","no COI","pro","correct"
43,6,4,4,4,80,1,"yes","yes","no COI","pro","correct"
44,6,5,4,6,40,2,"yes","yes","COI","con","correct"
45,3,3,4,4,25,2,"yes","yes","COI","pro","correct"
46,6,6,6,6,80,2,"yes","yes","COI","con","correct"
47,1,1,1,1,0,1,"yes","yes","no COI","pro","correct"
48,4,4,4,4,50,2,"yes","yes","COI","con","correct"
49,5,5,5,5,80,1,"yes","yes","no COI","pro","correct"
50,6,6,4,5,75,2,"yes","yes","COI","con","correct"
51,4,4,4,4,50,1,"yes","yes","no COI","con","correct"
52,2,4,1,1,50,1,"yes","yes","no COI","pro","correct"
53,4,3,3,4,50,2,"yes","yes","COI","pro","correct"
54,3,4,3,4,0,1,"yes","yes","no COI","con","correct"
55,3,2,2,2,30,2,"yes","yes","COI","pro","correct"
56,3,4,5,4,50,2,"yes","yes","COI","pro","correct"
57,1,1,1,1,10,2,"yes","yes","COI","con","correct"
58,6,6,6,6,80,2,"yes","yes","COI","con","correct"
59,6,6,6,6,60,1,"yes","yes","no COI","pro","correct"
60,5,4,4,4,60,1,"yes","yes","no COI","con","correct"
61,5,4,5,4,80,2,"yes","yes","COI","pro","correct"
62,6,6,6,6,90,2,"yes","yes","no COI","pro","incorrect"
63,5,5,5,6,75,2,"yes","yes","COI","pro","correct"
64,5,6,6,6,80,2,"yes","yes","no COI","con","incorrect"
65,5,5,5,5,90,2,"no","no","COI","con","correct"
66,6,6,5,4,95,1,"yes","yes","no COI","pro","correct"
67,1,1,4,1,50,2,"yes","yes","COI","pro","correct"
68,5,5,5,5,75,2,"yes","yes","COI","con","correct"
69,5,4,4,5,100,1,"yes","yes","no COI","con","correct"
70,6,6,5,5,80,1,"yes","yes","no COI","con","correct"
71,5,4,4,2,45,1,"yes","yes","no COI","con","correct"
72,2,2,3,2,50,2,"yes","yes","COI","pro","correct"
73,6,6,5,5,75,2,"no","yes","COI","con","correct"
74,6,6,6,3,90,1,"no","yes","no COI","pro","correct"
75,7,7,7,6,95,1,"yes","yes","no COI","pro","correct"
76,3,3,3,3,50,2,"yes","yes","COI","con","correct"
77,5,5,5,5,80,1,"yes","yes","no COI","con","correct"
78,3,3,6,4,25,2,"yes","yes","COI","pro","correct"
79,6,6,6,4,60,1,"no","yes","no COI","pro","correct"
80,6,6,6,5,75,1,"no","yes","no COI","con","correct"
81,6,6,6,4,36,2,"no","no","COI","con","correct"
82,4,4,4,4,50,1,"no","yes","no COI","pro","correct"
83,5,5,5,5,80,1,"yes","yes","no COI","pro","correct"
84,5,5,5,5,70,1,"yes","yes","no COI","pro","correct"
85,5,5,5,4,80,2,"no","no","COI","con","correct"
86,5,6,4,3,50,2,"no","yes","COI","pro","correct"
87,4,5,4,5,60,2,"yes","yes","COI","con","correct"
88,4,4,4,4,50,2,"yes","yes","COI","pro","correct"
89,6,5,6,5,70,1,"yes","yes","no COI","con","correct"
90,6,5,4,5,80,2,"yes","yes","COI","pro","correct"
91,5,5,4,4,80,1,"yes","yes","no COI","con","correct"
92,7,7,6,6,90,2,"yes","yes","COI","con","correct"
93,5,5,5,4,70,2,"yes","yes","COI","pro","correct"
94,6,7,7,6,80,1,"yes","yes","no COI","con","correct"
95,5,5,4,4,65,1,"yes","yes","no COI","pro","correct"
96,4,5,5,4,25,2,"yes","yes","COI","pro","correct"
97,1,4,4,4,50,2,"yes","yes","COI","pro","correct"
98,6,6,6,4,66,2,"yes","no","COI","con","correct"
99,5,4,5,4,70,2,"no","no","no COI","con","incorrect"
100,5,4,5,4,70,1,"no","no","no COI","con","correct"
101,4,4,4,4,50,1,"yes","yes","no COI","con","correct"
102,5,4,4,4,50,1,"yes","yes","COI","con","incorrect"
103,3,3,3,3,30,2,"no","no","COI","pro","correct"
104,5,5,5,5,60,1,"no","yes","COI","con","incorrect"
105,5,4,4,4,75,2,"yes","yes","COI","con","correct"
106,6,5,4,4,80,1,"no","no","no COI","pro","correct"
107,6,6,5,5,75,2,"yes","yes","COI","pro","correct"
108,5,5,5,5,80,1,"yes","yes","COI","con","incorrect"
109,5,4,4,4,75,2,"yes","yes","COI","pro","correct"
110,4,4,4,4,50,1,"no","no","no COI","pro","correct"
111,4,4,5,4,50,1,"yes","yes","no COI","con","correct"
