"ID","attention_check","est_replicability","trust_authors","trust_company","trust_journal","trust_study","COI","result","AC"
1,1,70,5,4,5,5,"no COI","con","correct"
2,2,40,5,4,5,4,"no COI","con","incorrect"
3,1,90,6,6,6,6,"no COI","pro","correct"
4,2,90,3,7,7,6,"COI","con","correct"
5,1,50,4,4,5,3,"COI","con","incorrect"
6,1,80,6,6,6,6,"no COI","con","correct"
7,2,80,2,6,6,2,"no COI","con","incorrect"
8,1,50,5,4,4,5,"no COI","pro","correct"
9,1,50,6,6,6,2,"no COI","con","correct"
10,2,95,6,6,6,6,"COI","pro","correct"
11,2,45,5,3,4,5,"COI","con","correct"
12,2,50,4,4,4,3,"COI","pro","correct"
13,1,40,5,3,4,3,"no COI","pro","correct"
14,2,80,7,4,7,6,"COI","con","correct"
15,1,0,4,4,4,3,"no COI","pro","correct"
16,1,75,5,5,5,5,"no COI","con","correct"
17,1,80,5,5,5,5,"no COI","pro","correct"
18,2,60,3,4,3,3,"COI","pro","correct"
19,2,50,3,3,3,3,"COI","pro","correct"
20,1,60,5,5,6,5,"no COI","con","correct"
21,1,70,5,6,6,6,"COI","pro","incorrect"
22,2,80,6,6,6,6,"COI","con","correct"
23,1,79,6,4,5,4,"no COI","con","correct"
24,2,70,6,5,7,6,"COI","con","correct"
25,1,85,4,4,5,6,"no COI","con","correct"
26,1,75,6,6,6,6,"COI","con","incorrect"
27,1,50,5,4,4,4,"no COI","con","correct"
28,2,65,6,5,5,6,"COI","pro","correct"
29,1,90,6,6,6,6,"no COI","pro","correct"
30,1,95,6,6,6,6,"no COI","pro","correct"
31,1,70,6,6,5,5,"no COI","pro","correct"
32,1,60,5,3,4,5,"no COI","con","correct"
33,2,50,3,4,3,3,"COI","pro","correct"
34,1,70,5,4,4,5,"no COI","con","correct"
35,1,90,6,6,6,6,"no COI","pro","correct"
36,1,95,7,6,7,6,"no COI","pro","correct"
37,1,65,6,5,6,5,"no COI","con","correct"
38,2,60,5,5,4,5,"COI","pro","correct"
39,1,80,6,5,5,6,"no COI","pro","correct"
40,1,80,6,4,6,6,"no COI","pro","correct"
41,2,60,6,3,6,5,"COI","pro","correct"
42,1,98,6,6,7,6,"no COI","pro","correct"
43,2,80,5,5,5,5,"COI","pro","correct"
44,2,50,3,5,4,3,"COI","pro","correct"
45,1,95,6,6,6,6,"no COI","con","correct"
